sample_id,read1
B10_apex_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.003.smRNA4.1_R1.fastq.gz
B10_1_2_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.005.smRNA16.2_R1.fastq.gz
B10_3_5_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.006.smRNA20.3_R1.fastq.gz
B10_6_8_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0753.007.smRNA7.4_R1.fastq.gz
B10_9_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0753.006.smRNA24.5_R1.fastq.gz
B10_L_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0753.008.smRNA14.6_R1.fastq.gz
B10_apex_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.001.RPI6.33_R1.fastq.gz
B10_1_2_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.001.RPI7.34_R1.fastq.gz
B10_3_5_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.001.RPI8.35_R1.fastq.gz
B10_6_8_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.001.RPI9.36_R1.fastq.gz
B10_9_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.002.RPI10.37_R1.fastq.gz
B10_L_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.002.RPI11.38_R1.fastq.gz
B10_apex_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.001.RPI10.65_R1.fastq.gz
B10_1_2_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.001.RPI11.66_R1.fastq.gz
B10_3_5_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.001.RPI12.67_R1.fastq.gz
B10_6_8_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.001.RPI37.68_R1.fastq.gz
B10_9_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.002.RPI38.69_R1.fastq.gz
B10_L_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.002.RPI39.70_R1.fastq.gz
Hgy3_apex_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.005.smRNA14.18_R1.fastq.gz
Hgy3_1_2_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.005.smRNA15.19_R1.fastq.gz
Hgy3_3_5_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.006.smRNA17.20_R1.fastq.gz
Hgy3_6_8_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.006.smRNA18.21_R1.fastq.gz
Hgy3_L_rep1,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.0681.006.smRNA19.22_R1.fastq.gz
Hgy3_apex_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.005.RPI47.50_R1.fastq.gz
Hgy3_1_2_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.005.RPI48.51_R1.fastq.gz
Hgy3_3_5_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.005.RPI1.52_R1.fastq.gz
Hgy3_6_8_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.006.RPI2.53_R1.fastq.gz
Hgy3_L_rep2,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2293.006.RPI3.54_R1.fastq.gz
Hgy3_apex_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.003.RPI3.82_R1.fastq.gz
Hgy3_1_2_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.003.RPI4.83_R1.fastq.gz
Hgy3_3_5_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.003.RPI5.84_R1.fastq.gz
Hgy3_6_8_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.004.RPI6.85_R1.fastq.gz
Hgy3_L_rep3,/media/admin1/Disk_2/Hgy3_B10_miRNA/input_fastq/HI.2294.004.RPI7.86_R1.fastq.gz
